vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万机械设备行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|国机通用|600444|机械设备|一级行业|申万行业分类|
|晋西车轴|600495|机械设备|一级行业|申万行业分类|
|科达制造|600499|机械设备|一级行业|申万行业分类|
|航天晨光|600501|机械设备|一级行业|申万行业分类|
|三佳科技|600520|机械设备|一级行业|申万行业分类|
|中铁工业|600528|机械设备|一级行业|申万行业分类|
|卓郎智能|600545|机械设备|一级行业|申万行业分类|
|大西洋|600558|机械设备|一级行业|申万行业分类|
|金自天正|600560|机械设备|一级行业|申万行业分类|
|中化装备|600579|机械设备|一级行业|申万行业分类|
|天地科技|600582|机械设备|一级行业|申万行业分类|
|龙溪股份|600592|机械设备|一级行业|申万行业分类|
|安徽合力|600761|机械设备|一级行业|申万行业分类|
|鲁信创投|600783|机械设备|一级行业|申万行业分类|
|厦工股份|600815|机械设备|一级行业|申万行业分类|
|上海机电|600835|机械设备|一级行业|申万行业分类|
|上工申贝|600843|机械设备|一级行业|申万行业分类|
|京城股份|600860|机械设备|一级行业|申万行业分类|
|*ST京化|600889|机械设备|一级行业|申万行业分类|
|广日股份|600894|机械设备|一级行业|申万行业分类|
|北矿科技|600980|机械设备|一级行业|申万行业分类|
|建设机械|600984|机械设备|一级行业|申万行业分类|
|贵绳股份|600992|机械设备|一级行业|申万行业分类|
|晋亿实业|601002|机械设备|一级行业|申万行业分类|
|一拖股份|601038|机械设备|一级行业|申万行业分类|
|恒立液压|601100|机械设备|一级行业|申万行业分类|
|中国一重|601106|机械设备|一级行业|申万行业分类|
|杭齿前进|601177|机械设备|一级行业|申万行业分类|
|陕鼓动力|601369|机械设备|一级行业|申万行业分类|
|国机重装|601399|机械设备|一级行业|申万行业分类|
|中信重工|601608|机械设备|一级行业|申万行业分类|
|中创智领|601717|机械设备|一级行业|申万行业分类|
|中国中车|601766|机械设备|一级行业|申万行业分类|
|蓝科高新|601798|机械设备|一级行业|申万行业分类|
|海天精工|601882|机械设备|一级行业|申万行业分类|
|合锻智能|603011|机械设备|一级行业|申万行业分类|
|创力集团|603012|机械设备|一级行业|申万行业分类|
|弘讯科技|603015|机械设备|一级行业|申万行业分类|
|大豪科技|603025|机械设备|一级行业|申万行业分类|
|赛福天|603028|机械设备|一级行业|申万行业分类|
|天鹅股份|603029|机械设备|一级行业|申万行业分类|
|如通股份|603036|机械设备|一级行业|申万行业分类|
|乐惠国际|603076|机械设备|一级行业|申万行业分类|
|大丰实业|603081|机械设备|一级行业|申万行业分类|
|北自科技|603082|机械设备|一级行业|申万行业分类|
|宁波精达|603088|机械设备|一级行业|申万行业分类|
|宏盛股份|603090|机械设备|一级行业|申万行业分类|
|越剑智能|603095|机械设备|一级行业|申万行业分类|
|川仪股份|603100|机械设备|一级行业|申万行业分类|
|康尼机电|603111|机械设备|一级行业|申万行业分类|
|上海沪工|603131|机械设备|一级行业|申万行业分类|
|中重科技|603135|机械设备|一级行业|申万行业分类|
|上海亚虹|603159|机械设备|一级行业|申万行业分类|
|兰石重装|603169|机械设备|一级行业|申万行业分类|
|福斯达|603173|机械设备|一级行业|申万行业分类|
|海容冷链|603187|机械设备|一级行业|申万行业分类|
|中力股份|603194|机械设备|一级行业|申万行业分类|
|快克智能|603203|机械设备|一级行业|申万行业分类|
|海鸥股份|603269|机械设备|一级行业|申万行业分类|
|金帝股份|603270|机械设备|一级行业|申万行业分类|
|天元智能|603273|机械设备|一级行业|申万行业分类|
|众辰科技|603275|机械设备|一级行业|申万行业分类|
|银都股份|603277|机械设备|一级行业|申万行业分类|
|大业股份|603278|机械设备|一级行业|申万行业分类|
|景津装备|603279|机械设备|一级行业|申万行业分类|
|南方路机|603280|机械设备|一级行业|申万行业分类|
|赛腾股份|603283|机械设备|一级行业|申万行业分类|
|泰瑞机器|603289|机械设备|一级行业|申万行业分类|
|杭叉集团|603298|机械设备|一级行业|申万行业分类|
|应流股份|603308|机械设备|一级行业|申万行业分类|
|梅轮电梯|603321|机械设备|一级行业|申万行业分类|
|博隆技术|603325|机械设备|一级行业|申万行业分类|
|百达精工|603331|机械设备|一级行业|申万行业分类|
|杰克科技|603337|机械设备|一级行业|申万行业分类|
|浙江鼎力|603338|机械设备|一级行业|申万行业分类|
|四方科技|603339|机械设备|一级行业|申万行业分类|
|华菱精工|603356|机械设备|一级行业|申万行业分类|
|力聚热能|603391|机械设备|一级行业|申万行业分类|
|华之杰|603400|机械设备|一级行业|申万行业分类|
|信捷电气|603416|机械设备|一级行业|申万行业分类|
|展鹏科技|603488|机械设备|一级行业|申万行业分类|
|祥和实业|603500|机械设备|一级行业|申万行业分类|
|捷昌驱动|603583|机械设备|一级行业|申万行业分类|
|诺力股份|603611|机械设备|一级行业|申万行业分类|
|君禾股份|603617|机械设备|一级行业|申万行业分类|
|艾迪精密|603638|机械设备|一级行业|申万行业分类|
|泰禾智能|603656|机械设备|一级行业|申万行业分类|
|柯力传感|603662|机械设备|一级行业|申万行业分类|
|亿嘉和|603666|机械设备|一级行业|申万行业分类|
|五洲新春|603667|机械设备|一级行业|申万行业分类|
|今创集团|603680|机械设备|一级行业|申万行业分类|
|航天工程|603698|机械设备|一级行业|申万行业分类|
|纽威股份|603699|机械设备|一级行业|申万行业分类|
|宁水集团|603700|机械设备|一级行业|申万行业分类|
|大元泵业|603757|机械设备|一级行业|申万行业分类|
|ST星农|603789|机械设备|一级行业|申万行业分类|
|洪田股份|603800|机械设备|一级行业|申万行业分类|
|华荣股份|603855|机械设备|一级行业|申万行业分类|
|天永智能|603895|机械设备|一级行业|申万行业分类|
|永创智能|603901|机械设备|一级行业|申万行业分类|
|佳力图|603912|机械设备|一级行业|申万行业分类|
|国茂股份|603915|机械设备|一级行业|申万行业分类|
|威派格|603956|机械设备|一级行业|申万行业分类|
|法兰泰克|603966|机械设备|一级行业|申万行业分类|
|银龙股份|603969|机械设备|一级行业|申万行业分类|
|威奥股份|605001|机械设备|一级行业|申万行业分类|
|咸亨国际|605056|机械设备|一级行业|申万行业分类|
