code_gildata,name,wind_sw_l1
002175.SZ,*ST东智,机械设备
002176.SZ,江特电机,电力设备
002177.SZ,御银股份,商贸零售
002178.SZ,延华智能,计算机
002179.SZ,中航光电,国防军工
002180.SZ,奔图科技,计算机
002181.SZ,粤传媒,传媒
002182.SZ,宝武镁业,有色金属
002183.SZ,怡亚通,商贸零售
002184.SZ,海得控制,机械设备
002185.SZ,华天科技,电子
002186.SZ,全聚德,社会服务
002187.SZ,广百股份,商贸零售
002188.SZ,中天服务,房地产
002189.SZ,中光学,国防军工
002190.SZ,成飞集成,汽车
002191.SZ,劲嘉股份,轻工制造
002192.SZ,融捷股份,有色金属
002193.SZ,ST如意,纺织服饰
002194.SZ,武汉凡谷,通信
002195.SZ,岩山科技,计算机
002196.SZ,方正电机,电力设备
002197.SZ,证通电子,计算机
002198.SZ,ST嘉应,医药生物
002199.SZ,东晶电子,电子
002200.SZ,交投生态,建筑装饰
002201.SZ,九鼎新材,建筑材料
002202.SZ,金风科技,电力设备
002203.SZ,海亮股份,有色金属
002204.SZ,大连重工,机械设备
002205.SZ,国统股份,建筑材料
002206.SZ,海利得,基础化工
002207.SZ,*ST准油,石油石化
002208.SZ,合肥城建,房地产
002209.SZ,达意隆,机械设备
002210.SZ,飞马国际,环保
002211.SZ,ST宏达,基础化工
002212.SZ,天融信,计算机
002213.SZ,大为股份,电子
002214.SZ,大立科技,国防军工
002215.SZ,诺普信,农林牧渔
002216.SZ,三全食品,食品饮料
002217.SZ,ST合力泰,电子
002218.SZ,拓日新能,公用事业
002219.SZ,新里程,医药生物
002221.SZ,东华能源,石油石化
002222.SZ,福晶科技,电子
002223.SZ,鱼跃医疗,医药生物
002224.SZ,三力士,基础化工
002225.SZ,濮耐股份,建筑材料
002226.SZ,江南化工,基础化工
002227.SZ,*ST特迅,电力设备
002228.SZ,合兴包装,轻工制造
002229.SZ,鸿博股份,计算机
002230.SZ,科大讯飞,计算机
002231.SZ,*ST奥维(退市),国防军工
002232.SZ,启明信息,计算机
002233.SZ,塔牌集团,建筑材料
002234.SZ,民和股份,农林牧渔
002235.SZ,安妮股份,轻工制造
002236.SZ,大华股份,计算机
002237.SZ,恒邦股份,有色金属
002238.SZ,天威视讯,传媒
